,ID,Name in English,Main country,All countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Rank ,Quality of life index,Years of life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income per capita,Endangered,Rank,Population,Government,Republic,Constitutional monarchy,Provisional,Absolute monarchy,% speakers
68,1204.0,Kharia,India,IND,khr,Vulnerable,200000,21.8003,85.4956,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.00014555788912103487
69,1210.0,Korku,India,IND,kfq,Vulnerable,200000,20.3034,80.2441,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.00014555788912103487
70,1161.0,Thado,India,IND,tcz,Vulnerable,191000,24.4521,93.2354,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.0001390077841105883
71,1557.0,Kului,India,IND,kfx,Definitely endangered,170770,31.4403,77.1487,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,0.00012428460362599563
72,1132.0,Lhota,India,IND,njh,Vulnerable,170000,26.1603,94.3725,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.00012372420575287966
73,977.0,Nyishi,India,IND,dap,Vulnerable,170000,27.5277,93.0981,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.00012372420575287966
74,1582.0,Kodagu,India,IND,kfa,Definitely endangered,166187,11.6952,75.9375,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,0.00012094914459678712
75,1174.0,Rabha,India,IND,rah,Vulnerable,150000,25.9284,90.9777,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.00010916841684077617
76,1154.0,Tangkhul,India,IND,nmf,Vulnerable,142000,25.0358,94.4824,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.00010334610127593476
77,1569.0,Badaga,India,IND,bfq,Definitely endangered,134514,11.3642,76.5266,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,9.789786948613443e-05
78,1140.0,Angami,India,IND,njm,Vulnerable,132000,25.7553,94.1308,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,9.606820681988303e-05
79,1553.0,Chambeali,India,IND,cdh,Definitely endangered,126589,32.9072,76.5307,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,9.213013812971342e-05
80,1129.0,Phom,India,IND,nph,Vulnerable,123000,26.7799,94.9493,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,8.951810180943646e-05
81,1588.0,Kolami,India,IND,kfb,Definitely endangered,121855,20.5093,78.1787,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,8.868478289421852e-05
82,1590.0,Konda,India,IND,kfc,Definitely endangered,118597,18.2763,82.9385,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,8.631364488043686e-05
83,1564.0,Jaunsari,India,IND,jns,Definitely endangered,114733,30.4859,78.0908,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,8.350146646261848e-05
84,1167.0,Dimasa,India,IND,dis,Vulnerable,112000,24.7368,92.9003,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,8.151241790777954e-05
85,1136.0,Simi,India,IND,nsm,Vulnerable,104000,25.9777,94.5922,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,7.569010234293814e-05
86,1162.0,Kabui,India,IND,nkf,Vulnerable,95000,24.7218,93.6584,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,6.913999733249157e-05
87,1135.0,Yimchungru,India,IND,yim,Vulnerable,92000,25.9629,94.9713,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,6.695662899567605e-05
88,1141.0,Chokri,India,IND,nri,Vulnerable,84000,25.8691,94.7131,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,6.113431343083465e-05
89,1133.0,Sangtam,India,IND,nsa,Vulnerable,84000,26.6032,94.9603,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,6.113431343083465e-05
90,1144.0,Mao,India,IND,nbi,Vulnerable,81000,25.5027,94.2681,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,5.895094509401913e-05
91,1567.0,Bhadravahi,India,"IND, PAK",bhd,Definitely endangered,66918,33.5413,76.333,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,4.870221412100706e-05
92,1562.0,Kinnauri,India,IND,"kns, kfk, cif, tpq",Definitely endangered,65097,31.541,78.3764,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,4.737690954056004e-05
93,1131.0,Chang,India,IND,nbc,Vulnerable,62000,26.2934,94.9493,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,4.512294562752081e-05
94,1554.0,Churahi,India,IND,cdj,Definitely endangered,61199,33.1835,76.5747,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,4.453998628159107e-05
95,1155.0,Nruanghmei,India,IND,nbu,Vulnerable,61000,24.9661,93.5375,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,4.439515618191564e-05
96,1139.0,Rengma,India,IND,"nnl, nre",Vulnerable,61000,25.958,94.2462,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,4.439515618191564e-05
97,1186.0,Kachari,India,IND,xac,Definitely endangered,59000,25.2844,93.2189,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,4.293957729070529e-05
98,1587.0,Parji,India,IND,pci,Critically endangered,51216,18.5629,82.8039,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,3.727446424611461e-05
99,1232.0,Hmar,India,IND,hmr,Vulnerable,50000,24.577,93.3178,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,3.638947228025872e-05
100,1159.0,Paite,India,IND,"pck, smt",Vulnerable,50000,24.1968,93.3563,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,3.638947228025872e-05
101,1108.0,Wancho,India,IND,nnp,Vulnerable,49000,26.9759,95.4656,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,3.566168283465355e-05
102,1213.0,Bhumji,India,IND,bij,Vulnerable,47000,21.8003,86.8139,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,3.42061039434432e-05
103,1143.0,Kheza,India,IND,nkh,Vulnerable,41000,25.6811,94.367,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,2.983936726981215e-05
104,1208.0,Gutob,India,IND,gbj,Vulnerable,40000,18.7086,83.5839,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,2.9111577824206976e-05
105,986.0,Minyong,India,IND,adi,Vulnerable,40000,28.2632,95.0537,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,2.9111577824206976e-05
106,1104.0,Tangsa,India,IND,nst,Vulnerable,40000,27.4059,96.427,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,2.9111577824206976e-05
107,1134.0,Khiamngan,India,IND,nky,Vulnerable,38000,26.0518,95.1031,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,2.7655998932996626e-05
108,1151.0,Maram,India,IND,nma,Vulnerable,37000,25.185,93.9715,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,2.6928209487391454e-05
109,938.0,Apatani,India,IND,apt,Vulnerable,35000,27.5228,93.8177,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,2.5472630596181104e-05
110,988.0,Galo,India,IND,adl,Vulnerable,35000,28.1688,94.7433,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,2.5472630596181104e-05
111,1218.0,Korwa,India,IND,kfp,Vulnerable,35000,22.4922,84.1552,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,2.5472630596181104e-05
112,1147.0,Liangmai,India,IND,njn,Vulnerable,34000,25.2794,93.6694,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,2.474484115057593e-05
113,1150.0,Zeme,India,IND,nzm,Vulnerable,34000,25.5027,93.5595,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,2.474484115057593e-05
114,1106.0,Nocte,India,IND,njb,Vulnerable,33000,27.1618,95.7952,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,2.4017051704970757e-05
115,1561.0,Sirmaudi,India,IND,srx,Critically endangered,31144,30.9823,77.1569,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,2.266627449392755e-05
116,1171.0,Koch,India,IND,kdq,Definitely endangered,31000,25.7603,90.3955,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,2.2561472813760406e-05
117,1146.0,Mzieme,India,IND,nme,Vulnerable,29000,25.6019,93.8891,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,2.1105893922550056e-05
118,1170.0,Deori,India,IND,der,Definitely endangered,28000,27.1911,94.1528,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,2.0378104476944884e-05
119,1576.0,Gadaba,India,IND,"gdb, gau",Critically endangered,26262,18.3858,82.7819,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,1.911320642048309e-05
120,1215.0,Koda,India,IND,cdz,Vulnerable,25000,22.1263,87.0776,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,1.819473614012936e-05
