ID,Name in English,Main country,All countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Rank ,Quality of life index(HDI-2019),Life expectancy at birth (years) SDG3,Expected years of schooling (years) SDG 4.3,Mean years of schooling (years) SDG 4.6,Gross national income (GNI) per capita (PPP $) SDG 8.5,Endangered,Rank,Population,Government
938.0,Apatani,India,IND,apt,Vulnerable,35000.0,27.5228,93.8177,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
988.0,Galo,India,IND,adl,Vulnerable,35000.0,28.1688,94.7433,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1218.0,Korwa,India,IND,kfp,Vulnerable,35000.0,22.4922,84.1552,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1147.0,Liangmai,India,IND,njn,Vulnerable,34000.0,25.2794,93.6694,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1150.0,Zeme,India,IND,nzm,Vulnerable,34000.0,25.5027,93.5595,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1106.0,Nocte,India,IND,njb,Vulnerable,33000.0,27.1618,95.7952,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1561.0,Sirmaudi,India,IND,srx,Critically endangered,31144.0,30.9823,77.1569,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1171.0,Koch,India,IND,kdq,Definitely endangered,31000.0,25.7603,90.3955,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1146.0,Mzieme,India,IND,nme,Vulnerable,29000.0,25.6019,93.8891,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1170.0,Deori,India,IND,der,Definitely endangered,28000.0,27.1911,94.1528,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1576.0,Gadaba,India,IND,"gdb, gau",Critically endangered,26262.0,18.3858,82.7819,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1215.0,Koda,India,IND,cdz,Vulnerable,25000.0,22.1263,87.0776,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1164.0,Anal,India,IND,anm,Vulnerable,23000.0,24.1517,93.9385,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
